name,price,category,image_file,description,compatibleModels,tags,stock
Ốp lưng Spigen ACS06501 chống sốc trong suốt cho iPhone 15 Pro Max,320000,Ốp lưng,op15promax.jpg,Thiết kế trong suốt khoe trọn vẻ đẹp máy. Chất liệu TPU dẻo chống sốc hiệu quả khi rơi. Viền nhô cao bảo vệ camera và màn hình. Phù hợp người dùng thích sự tối giản nhưng an toàn.,iPhone 15 Pro Max,"spigen, op-lung, chong-soc, trong-suot, bao-ve",85
Cáp sạc Anker A81F5 USB-C to Lightning sạc nhanh PD 20W,180000,Cáp sạc,capsac.jpg,"Hỗ trợ sạc nhanh Power Delivery lên đến 20W. Lõi cáp bền bỉ, chống đứt gãy khi uốn cong. Tương thích tốt với các thiết bị Apple. Dành cho người cần sạc nhanh, ổn định.","iPhone 11, iPhone 12, iPhone 13, iPhone 14","anker, cap-sac, sac-nhanh, pd, ben-bi",120
Củ sạc Baseus GaN5 Pro 65W 3 cổng đa năng,550000,Củ sạc,cusacgan5.jpg,550000,"iPhone, Samsung, iPad, MacBook Air","baseus, cu-sac, gan, sac-nhanh, da-nang",60
Tai nghe Bluetooth SoundPEATS Air3 Deluxe HS chống ồn,690000,Tai nghe,tainghesoundpeats.jpg,"Âm thanh Hi-Res rõ nét, bass mạnh mẽ. Công nghệ chống ồn ENC giúp gọi điện rõ ràng. Thiết kế nhỏ gọn, đeo lâu không đau tai. Phù hợp nghe nhạc và làm việc.","Android, iPhone, iPad","soundpeats, tai-nghe, bluetooth, chong-on, giai-tri",45
Sạc dự phòng Xiaomi Redmi PB200LZM 20000mAh sạc nhanh,390000,Sạc dự phòng,sacduphong.jpg,"Dung lượng lớn 20000mAh cho nhiều lần sạc. Hỗ trợ sạc nhanh hai chiều tiện lợi. Thiết kế chắc chắn, an toàn khi sử dụng. Phù hợp đi du lịch, công tác.","iPhone, Samsung, Xiaomi","xiaomi, sac-du-phong, dung-luong-cao, sac-nhanh, du-lich",150
Kính cường lực Nillkin CP+ Pro chống trầy cho iPhone 14,120000,Kính cường lực,kinhcuongluc.jpg,"Kính cường lực cao cấp chống trầy xước hiệu quả. Độ trong suốt cao, giữ nguyên trải nghiệm màn hình. Dễ dàng dán không bọt khí. Bảo vệ tối đa màn hình thiết bị.",iPhone 14,"nillkin, kinh-cuong-luc, chong-tray, trong-suot, bao-ve",200
Giá đỡ điện thoại Ugreen LP247 xoay 360 độ tiện lợi,150000,Phụ kiện,giadpdienthoia.jpg,"Thiết kế chắc chắn, chống trượt tốt. Có thể xoay 360 độ linh hoạt. Phù hợp xem phim, học online. Nhỏ gọn dễ mang theo.","iPhone, Samsung, Xiaomi","ugreen, gia-do, xoay-360, tien-loi, giai-tri",95
Tai nghe Apple EarPods Lightning âm thanh chuẩn hãng,490000,Tai nghe,taingheairpord.jpg,"Thiết kế quen thuộc, đeo thoải mái. Âm thanh trung thực, rõ ràng. Kết nối Lightning ổn định. Phù hợp người dùng iPhone chính hãng.","iPhone 11, iPhone 12, iPhone 13, iPhone 14","apple, tai-nghe, lightning, am-thanh, chinh-hang",70
Cáp sạc Samsung EP-DN980 USB-C to USB-C 60W,210000,Cáp sạc,cusacsamsung.jpg,"Hỗ trợ sạc nhanh 60W cho thiết bị Samsung. Tốc độ truyền dữ liệu ổn định. Chất liệu bền bỉ, chống rối. Phù hợp cho người dùng Android","Samsung Galaxy S21, S22, S23","samsung, cap-sac, usbc, sac-nhanh, android",110
Ốp lưng Ringke Fusion X chống sốc cho Samsung S23,260000,Ốp lưng,oplungsamsung.jpg,"Thiết kế mạnh mẽ, chống sốc chuẩn quân đội. Mặt lưng trong suốt kết hợp viền màu cá tính. Bảo vệ toàn diện thiết bị. Phù hợp người dùng năng động.",Samsung Galaxy S23,"ringke, op-lung, chong-soc, ca-tinh, bao-ve",80
Ốp lưng Nillkin CamShield chống trượt bảo vệ camera cho Xiaomi 13,180000,Ốp lưng,oplung20.jpg,"Thiết kế trượt bảo vệ camera độc đáo. Chống trầy xước và chống sốc tốt. Cầm nắm chắc tay, không trơn trượt. Phù hợp người dùng năng động.",Xiaomi 13,"nillkin, op-lung, bao-ve-camera, chong-soc, chong-truot",115
Cáp sạc Ugreen USB-C to USB-C 100W hỗ trợ PD,260000,Cáp sạc,capsac19.jpg,Hỗ trợ sạc nhanh lên đến 100W cho laptop và điện thoại. Truyền dữ liệu tốc độ cao. Chất liệu cao cấp chống đứt. Phù hợp dân công nghệ.,"MacBook, iPad, Samsung","ugreen, cap-sac, 100w, sac-nhanh, cong-nghe",100
Tai nghe Apple AirPods 2 sạc Lightning chính hãng,2800000,Tai nghe,tainghe18.jpg,"Kết nối nhanh với hệ sinh thái Apple. Âm thanh ổn định, dễ sử dụng. Thời lượng pin tốt cho nhu cầu cơ bản. Phù hợp người dùng iPhone.","iPhone, iPad","apple, tai-nghe, bluetooth, chinh-hang, tien-loi",30
Giá đỡ điện thoại Baseus Metal Age gắn xe hơi chắc chắn,220000,Phụ kiện,giado17.jpg,"Thiết kế kim loại cao cấp, bền bỉ. Kẹp chắc chắn, không rung lắc khi di chuyển. Dễ lắp đặt trên xe hơi. Phù hợp lái xe cần định vị.","iPhone, Samsung, Xiaomi","baseus, gia-do, xe-hoi, chac-chan, dan-duong",65
Kính cường lực Baseus Full Cover chống vân tay cho iPhone 13,130000,Kính cường lực,kinhcuonglu16.jpg,"Kính full màn hình bảo vệ toàn diện. Chống bám vân tay hiệu quả. Độ trong suốt cao, hiển thị sắc nét. Dễ dàng lắp đặt tại nhà.",iPhone,"baseus, kinh-cuong-luc, chong-van-tay, full-man, bao-ve",160
Củ sạc Anker PowerPort III Nano 20W nhỏ gọn,290000,Củ,cusac13.jpg,Thiết kế siêu nhỏ gọn dễ mang theo. Hỗ trợ sạc nhanh PD 20W cho iPhone. Công nghệ an toàn bảo vệ pin. Phù hợp người hay di chuyển.,"iPhone 12, iPhone 13, iPhone 14","anker, cu-sac, sac-nhanh, nho-gon, di-dong",75
